CEP,lat,lon,source,status
79073241.0,-20.5582446,-54.6264053,cepaberto,Success
79601970.0,-20.7904516,-51.7085177,cepaberto,Success
79041270.0,-20.4759149,-54.5883427,cepaberto,Success
79170000.0,-20.9306687,-54.9697212,cepaberto,Success
79180000.0,-20.4449913,-53.759311,cepaberto,Success
79130000.0,-21.8047006,-54.5432691,cepaberto,Success
79290000.0,-21.1265489,-56.4840784,cepaberto,Success
79490000.0,-19.3872935,-54.5930467,cepaberto,Success
79500000.0,-19.67511,-51.1913338,cepaberto,Success
79210000.0,-20.4827446,-55.8108596,cepaberto,Success
79200000.0,-20.4670046,-55.7872944,cepaberto,Success
79720000.0,-22.4810975,-54.3084369,cepaberto,Success
79086020.0,-20.4922114,-54.6439779,cepaberto,Success
79070229.0,-20.5207003,-54.6129463,cepaberto,Success
79670000.0,-21.255537,-52.0364941,cepaberto,Success
79900001.0,-22.5112319,-55.7415647,cepaberto,Success
79065080.0,-20.5553503,-54.5788392,cepaberto,Success
79600030.0,-20.7881689,-51.7030483,cepaberto,Success
79630350.0,-20.7881689,-51.7030483,cepaberto,Success
79550000.0,-18.543654,-53.1292138,cepaberto,Success
79002337.0,-20.4697105,-54.6201211,cepaberto,Success
79050310.0,-20.4888551,-54.6133875,cepaberto,Success
79240000.0,-21.4803962,-56.1494143,cepaberto,Success
79556000.0,-19.0216241,-53.0115857,cepaberto,Success
79004382.0,-20.4697105,-54.6201211,cepaberto,Success
79010500.0,-20.4308791,-54.6122371,cepaberto,Success
79010070.0,-20.4308791,-54.6122371,cepaberto,Success
79990000.0,-23.108304133,-55.2258695068,cepaberto,Success
79070140.0,-20.518142,-54.6153357,cepaberto,Success
79450000.0,-19.9533323,-54.8882885,cepaberto,Success
79940000.0,-22.6343857,-54.8233506,cepaberto,Success
79760000.0,-22.2951897,-53.2715408,cepaberto,Success
79002221.0,-20.4697105,-54.6201211,cepaberto,Success
79430000.0,-19.9279445,-54.3589527,cepaberto,Success
79600090.0,-20.7881689,-51.7030483,cepaberto,Success
79965001.0,-23.4841624,-54.1824413,azure,Success
79965000.0,-23.4783365,-54.1874767,cepaberto,Success
79965059.0,-23.4841624,-54.1824413,azure,Success
79333210.0,-19.001507,-57.6649121,cepaberto,Success
79700000.0,-22.3793875,-54.513573,cepaberto,Success
79018073.0,-20.3824874,-54.5500817,cepaberto,Success
79410000.0,-18.1002708,-54.5544066,cepaberto,Success
79080420.0,-20.4909566,-54.6108662,cepaberto,Success
79806010.0,-22.223561,-54.8125486,cepaberto,Success
79094040.0,-20.5099956,-54.6605885,cepaberto,Success
79097170.0,-20.531314,-54.6693671,cepaberto,Success
79826150.0,-22.2206216,-54.8050754,cepaberto,Success
79400000.0,-18.5017466,-54.7514842,cepaberto,Success
79011470.0,-20.4308791,-54.6122371,cepaberto,Success
79950000.0,-23.062277,-54.1999693,cepaberto,Success
79750000.0,-22.2384376,-53.34421,cepaberto,Success
79004391.0,-20.4697105,-54.6201211,cepaberto,Success
79115000.0,-20.4276716,-54.6548723,azure,Success
79005670.0,-20.4697105,-54.6201211,cepaberto,Success
79760013.0,-22.2972544,-53.2674241,azure,Success
79002204.0,-20.4697105,-54.6201211,cepaberto,Success
79825120.0,-22.223561,-54.8125486,cepaberto,Success
